in addition,/ɪn/ /əˈdɪʃən/,noun,"ngoài ra, thêm vào","in addition, we benefit greatly from the many medicines",,,,i_ _ _ _ _ _ _ _ _n,"{{c1::in addition}}, we benefit greatly from the many medicines"
agriculture,/ˈægrɪˌkʌlʧər/,noun,nông nghiệp,we need to develop our agriculture,,,,a_ _ _ _ _ _ _ _ _e,we need to develop our {{c1::agriculture}}
appear,/əˈpɪr/,verb,xuất hiện,he suddenly appeared in the doorway,,,,a_ _ _ _r,he suddenly {{c1::appear}}ed in the doorway
suddenly,/ˈsʌdənli/,adverb,đột ngột,he suddenly appeared in the doorway,,,,s_ _ _ _ _ _y,he {{c1::suddenly}} appeared in the doorway
around,/əˈraʊnd/,preposition,"xung quanh, vòng quanh",around the globe ,,,,a_ _ _ _d,{{c1::around}} the globe 
awareness,/əˈwɛrnəs/,noun,"ý thức, nhận thức",raise people's awareness of conservation needs,,,,a_ _ _ _ _ _ _s,raise people's {{c1::awareness}} of conservation needs
balanced,/ˈbælənst/,adjective,"cân đối, cân bằng",balanced environment,,,,b_ _ _ _ _ _d,{{c1::balanced}} environment
benefit,/ˈbɛnəfɪt/,noun,lợi ích,the discovery of oil brought many benefits to the country,,,,b_ _ _ _ _t,the discovery of oil brought many {{c1::benefit}}s to the country
discovery,/dɪˈskʌvəri/,noun,"sự tìm ra, khám phá",the discovery of oil brought many benefits to the country,,,,d_ _ _ _ _ _ _y,the {{c1::discovery}} of oil brought many benefits to the country
bring,/brɪŋ/,verb,mang,you should bring the umbrella in case it rains.,,,,b_ _ _g,you should {{c1::bring}} the umbrella in case it rains.
biodiversity,/ˌbaɪoʊdaɪˈvɜrsəti/,noun,đa dạng sinh học,maintaining biodiversity is important for us in many ways,,,,b_ _ _ _ _ _ _ _ _ _y,maintaining {{c1::biodiversity}} is important for us in many ways
biologist,/baɪˈɑləʤɪst/,noun,nhà sinh vật học,mary wants to become a biologist in the future,,,,b_ _ _ _ _ _ _t,mary wants to become a {{c1::biologist}} in the future
want,/wɑnt/,verb,muốn,i want a cup of coffee without sugar,,,,w_ _t,i {{c1::want}} a cup of coffee without sugar
cause,/kɑz/,noun,nguyên nhân,the primary causes of species extinction are habitat destruction,,,,c_ _ _e,the primary {{c1::cause}}s of species extinction are habitat destruction
chance,/ʧæns/,noun,cơ hội,endangered species can have a chance to survive and develop,,,,c_ _ _ _e,endangered species can have a {{c1::chance}} to survive and develop
